Num,ID,Name
187,006103,凯石淳行业精选混合A
188,004917,中银证券祥瑞混合A
189,005495,创金合信科技成长股票A
190,200011,长城景气行业龙头混合
191,005937,工银精选金融地产混合A
192,502020,国金上证50分级
193,501308,银河中证沪港深高股息C
194,005938,工银精选金融地产混合C
195,000219,博时裕益混合
196,004128,前海联合泳隆混合A
197,001887,中欧价值智选混合E
198,002620,中邮未来新蓝筹混合
199,004069,南方中证全指证券ETF联
200,001726,汇添富新兴消费股票
201,501307,银河中证沪港深高股息A
202,004235,中欧价值智选混合C
203,240010,华宝行业精选混合
204,000423,前海开源事件驱动混合A
205,166019,中欧价值智选混合A
206,350002,天治低碳经济混合
207,003147,大成动态量化混合
208,007040,前海联合泳隆混合C
209,004404,平安股息精选沪港深C
210,006253,永赢消费主题C
211,161037,富国中证高端制造指数增强型
212,005880,建信上证50ETF联接A
213,004403,平安股息精选沪港深A
214,001226,中邮稳健添利灵活配置混合
215,001273,民生加银新动力混合A
216,000849,汇丰晋信双核策略混合A
217,160633,鹏华证券分级
218,005881,建信上证50ETF联接C
219,000706,中邮多策略灵活配置混合
220,000850,汇丰晋信双核策略混合C
221,519165,新华鑫利灵活配置混合
222,161211,国投沪深300金融地产联接
223,006814,凯石淳行业精选混合C
224,160814,长盛中证金融地产指数分级
225,004070,南方中证全指证券ETF联接
226,160922,大成恒生综合中小型股指数
227,161629,融通证券分级
228,005612,嘉实核心优势股票发起式
229,001645,国泰大健康股票
230,580009,东吴多策略灵活配置混合
231,590006,中邮中小盘灵活配置混合
232,004354,益民中证智能消费
233,161026,富国中证国有企业改革指数分
234,003131,国寿安保强国智造混合
235,006522,财通新兴蓝筹混合A
236,005826,华夏潜龙精选股票
237,003359,大成360互联网+大数据1
238,005266,博时厚泽回报混合C
239,006523,财通新兴蓝筹混合C
240,005265,博时厚泽回报混合A
241,519671,银河沪深300价值指数
242,580007,东吴安享量化混合
243,001899,东海社会安全
244,400025,东方新兴成长混合
245,007230,兴全沪深300指数(LOF
246,163407,兴全沪深300指数(LOF
247,501008,汇添富中证互联网医疗指数C
248,519975,长信量化中小盘股票
249,004573,新华鑫泰灵活配置混合
250,002236,大成360互联网+大数据1
251,501007,汇添富中证互联网医疗指数A
252,090012,大成深证成长40ETF联接
253,001072,华安智能装备主题股票
254,005599,汇安量化优选灵活配置A
255,001629,天弘中证计算机主题指数A
256,501058,汇添富中证新能源汽车C
257,005600,汇安量化优选灵活配置C
258,673090,西部利得个股精选股票
259,163118,申万菱信申万医药生物分级
260,004050,华夏新锦升混合A
261,020018,国泰金鹿混合
262,502010,易方达证券公司分级
263,005737,博时上证50ETF联接C
264,001630,天弘中证计算机主题指数C
265,501057,汇添富中证新能源汽车A
266,007531,华宝券商ETF联接C
267,000684,长盛养老健康产业灵活配置混
268,006098,华宝券商ETF联接A
269,004871,中银金融地产混合
270,001865,前海开源事件驱动混合C
271,501016,国泰中证申万证券行业指数
272,005496,创金合信科技成长股票C
273,160625,鹏华证券保险分级
274,005711,永赢惠添利灵活配置混合
275,007800,申万菱信沪深300价值指数
276,519171,浦银安盛医疗健康混合
277,001760,嘉实创新成长混合
278,003446,英大睿鑫A
279,006819,安信盈利驱动股票C
280,001018,易方达新经济混合
281,161631,融通人工智能指数(LOF)
282,217027,招商央视财经50指数A
283,162509,国联安双禧中证100指数
284,001237,博时上证50ETF联接A
285,006818,安信盈利驱动股票A
286,000368,汇添富沪深300安中指数
287,710001,富安达优势成长混合
288,004410,招商央视财经50指数C
289,007343,嘉实科技创新混合
290,163113,申万菱信申万证券分级
291,160636,鹏华互联网分级
292,161720,招商中证全指证券公司指数分
293,002789,长盛同享灵活配置A
294,501066,东方红恒元五年定开混合
295,110003,易方达上证50指数A
296,005662,嘉实金融精选股票A
297,310398,申万菱信沪深300价值指数
298,003447,英大睿鑫C
299,006392,中信保诚创新成长混合
300,320011,诺安中小盘精选混合
301,005663,嘉实金融精选股票C
302,001709,华富物联世界灵活配置混合
303,671030,西部利得事件驱动股票
304,006167,德邦乐享生活混合A
305,004482,泰达宏利港股通股票A
306,004746,易方达上证50指数C
307,006648,汇安多因子混合A
308,168301,东海祥龙混合(LOF)
309,160136,南方中证国有企业改革指数分
310,005187,长安鑫兴混合C
311,006649,汇安多因子混合C
312,007580,宝盈中证100指数增强C
313,005112,银华中证全指医药卫生
314,004730,建信量化事件驱动股票
315,502048,易方达上证50指数分级
316,001577,嘉实低价策略股票
317,001660,富安达行业轮动混合
318,000251,工银金融地产混合
319,165521,信诚中证800金融指数分级
320,005126,银河量化稳进混合
321,163822,中银主题策略混合
322,005186,长安鑫兴混合A
323,240020,华宝医药生物混合
324,002167,南方顺康混合
325,050004,博时精选混合A
326,002173,东方大健康混合
327,163001,长信医疗保健混合(LOF)
328,162211,泰达宏利品质生活混合
329,005999,嘉实中证金融地产ETF联接
330,000176,嘉实沪深300指数研究增强
331,160643,鹏华中证空天一体(LOF)
332,006168,德邦乐享生活混合C
333,001608,英大策略优选C
334,004317,前海开源沪港深裕鑫C
335,519686,交银上证180公司治理联接
336,004407,招商上证消费80ETF联接
337,001607,英大策略优选A
338,007356,汇添富科技创新混合C
339,004951,申万菱信价值优利混合
340,004316,前海开源沪港深裕鑫A
341,007355,汇添富科技创新混合A
342,002790,长盛同享灵活配置C
343,217017,招商上证消费80ETF联接
344,020021,国泰上证180金融ETF联
345,003232,创金合信金融地产A
346,004224,南方军工改革灵活配置混合
347,006122,华安低碳生活混合
348,001539,嘉实中证金融地产ETF联接
349,161027,富国中证全指证券公司指数分
350,164508,国富中证100指数增强分级
351,590001,中邮核心优选混合
352,000757,华富智慧城市灵活配置混合
353,160424,华安创业板50ETF联接C
354,001549,天弘上证50指数C
355,001180,广发医药卫生联接A
356,001548,天弘上证50指数A
357,005646,中海沪港深多策略灵活配置混
358,005644,广发沪港深龙头混合
359,001230,鹏华医药科技
360,080005,长盛量化红利混合
361,519619,银河君荣灵活配置混合A
362,501022,银华鑫盛灵活配置混合(LO
363,006449,浙商汇金量化精选混合
364,006863,国联安智能制造混合
365,003233,创金合信金融地产C
366,001605,国富沪港深成长精选股票
367,160422,华安创业板50ETF联接A
368,320015,诺安行业轮动混合
369,004815,中欧红利优享混合C
370,001426,南方大数据300C
371,519620,银河君荣灵活配置混合C
372,001420,南方大数据300A
373,000835,华润元大富时中国A50指数
374,006034,富国MSCI中国A股国际通
375,001866,北信瑞丰新成长
376,519621,银河君荣灵活配置混合I
377,000279,华商红利优选混合
378,110013,易方达科翔混合
379,000780,鹏华医疗保健股票
380,006391,信达安和纯债
381,004814,中欧红利优享混合A
382,350007,天治趋势精选混合
383,001970,泰信鑫选灵活配置混合A
384,519995,长信金利趋势混合
385,202211,南方中证100指数A
386,502013,长盛中证申万一带一路分级
387,000591,中银健康生活混合
388,410008,华富中证100指数
389,002978,广发医药卫生联接C
390,005138,前海开源润鑫混合A
391,510081,长盛动态精选混合
392,001469,广发中证全指金融地产联接A
393,005691,南方中证100指数C
394,550001,信诚四季红混合
395,002496,前海开源量化优选C
396,002919,东吴智慧医疗量化策略混合
397,050013,博时上证超大盘ETF联接
398,001179,德邦大健康灵活配置混合
399,005139,前海开源润鑫混合C
400,000690,前海开源大海洋混合
401,005244,国泰聚优价值灵活配置混合A
402,005238,银华医疗健康量化优选C
403,165312,建信央视50
404,006221,工银上证50ETF联接C
405,006533,易方达科融混合
406,005143,中融沪港深大消费主题C
407,161025,富国中证移动互联网指数分级
408,213010,宝盈中证100指数增强A
409,005733,华夏上证50ETF联接C
410,160420,华安创业板50指数分级
411,519997,长信银利精选混合
412,006220,工银上证50ETF联接A
413,001051,华夏上证50ETF联接A
414,004769,申万菱信价值优先混合
415,001718,工银物流产业股票
416,502053,长盛中证证券公司分级
417,002495,前海开源量化优选A
418,005142,中融沪港深大消费主题A
419,006602,国融融泰灵活配置混合C
420,006601,国融融泰灵活配置混合A
421,540012,汇丰晋信恒生龙头指数A
422,001678,英大国企改革主题股票
423,002449,民生加银量化中国混合
424,570007,诺德优选30混合
425,161816,银华中证等权90指数分级
426,002979,广发中证全指金融地产联接C
427,001149,汇丰晋信恒生龙头指数C
428,005245,国泰聚优价值灵活配置混合C
429,005237,银华医疗健康量化优选A
430,673100,西部利得沪深300指数增强
431,673101,西部利得沪深300指数增强
432,481004,工银稳健成长混合A
433,519100,长盛中证100指数
434,410007,华富价值增长混合
435,005006,中金金泽C
436,007151,前海开源沪港深聚瑞混合
437,020010,国泰金牛创新成长混合
438,000646,华润元大量化优选混合A
439,007827,华润元大量化优选混合C
440,001279,中海积极增利混合
441,166024,中欧恒利三年定期开放混合
442,006743,中融央视财经50ETF联接
443,005005,中金金泽A
444,003835,鹏华沪深港新兴成长混合
445,001617,天弘中证电子指数A
446,006279,中金瑞祥A
447,040007,华安中小盘成长混合
448,001618,天弘中证电子指数C
449,001966,圆信永丰兴源灵活配置混合C
450,162107,金鹰量化精选股票(LOF)
451,002974,广发信息技术联接C
452,001384,东方新思路混合A
453,001385,东方新思路混合C
454,006744,中融央视财经50ETF联接
455,006395,华夏上证50AH优选指数C
456,001965,圆信永丰兴源灵活配置混合A
457,004481,华宝第三产业混合
458,000942,广发信息技术联接A
459,006280,中金瑞祥C
460,501050,华夏上证50AH优选指数A
461,481006,工银红利混合
462,002977,广发中证全指可选消费联接C
463,002084,新华鑫动力灵活配置混合C
464,001133,广发中证全指可选消费联接A
465,001393,国富金融地产混合C
466,002083,新华鑫动力灵活配置混合A
467,001933,华商新兴活力混合
468,162416,华宝港股通恒生香港35
469,540006,汇丰晋信大盘股票A
470,006796,富国消费升级混合
471,002293,南方益和混合
472,162412,华宝中证医疗指数分级
473,005680,财通资管价值成长混合
474,003208,东兴量化多策略混合
475,003292,嘉实优势成长混合
476,004536,嘉实中小企业量化活力混合
477,519027,海富通上证周期ETF联接
478,166802,浙商沪深300指数增强
479,004484,泰达宏利业绩股票A
480,005478,长安鑫禧灵活配置混合C
481,007136,广发中证100ETF联接C
482,161029,富国中证银行指数
483,007135,广发中证100ETF联接A
484,001392,国富金融地产混合A
485,160626,鹏华信息分级
486,001015,华夏沪深300指数增强A
487,004937,中航混改精选混合C
488,005477,长安鑫禧灵活配置混合A
489,040002,华安中国A股增强指数
490,001706,诺安积极回报混合
491,004936,中航混改精选混合A
492,003714,英大睿盛C
493,000410,益民服务领先混合
494,005708,国联安远见成长混合
495,005409,华泰柏瑞新兴产业混合
496,020022,国泰策略价值灵活配置混合
497,166020,中欧成长优选混合A
498,001740,光大中国制造2025混合
499,161910,万家新机遇价值驱动A
500,006781,汇丰晋信港股通精选股票
501,001708,东兴改革精选混合
502,006718,国融融盛龙头严选混合A
503,001657,长安鑫富领先混合
504,630010,华商价值精选混合
505,004044,金鹰转型动力混合
506,004485,泰达宏利业绩股票C
507,000566,华泰柏瑞创新升级混合
508,002545,东方岳灵活配置混合
509,006085,万家新机遇价值驱动C
510,007405,华宝中证100指数C
511,002649,民生智造2025灵活配置混
512,004777,国都消费升级灵活配置混合
513,001382,易方达国企改革混合
514,240014,华宝中证100指数A
515,006025,诺安优化配置混合
516,585001,东吴中证新兴指数
517,000972,新华万银策略灵活配置混合
518,001844,九泰久益混合C
519,006157,财通量化核心优选混合
520,006362,凯石涵行业精选混合A
521,003993,前海开源沪港深核心驱动混合
522,410003,华富成长趋势混合
523,007244,安信核心竞争力混合C
524,007243,安信核心竞争力混合A
525,161121,易方达银行分级
526,080007,长盛同鑫行业配置混合
527,002174,东方互联网嘉混合
528,003957,安信量化精选沪深300增强
529,007512,工银沪港深股票C
530,001891,中欧成长优选混合E
531,003713,英大睿盛A
532,003958,安信量化精选沪深300增强
533,005533,银华国企改革混合发起式
534,006202,交银核心资产混合
535,005447,银华智荟分红收益混合
536,003884,汇安沪深300指数增强A
537,001112,东方红中国优势混合
538,006815,凯石涵行业精选混合C
539,501306,汇添富中证港股通(LOF)
540,550003,中信保诚盛世蓝筹混合
541,165512,信诚新机遇混合(LOF)
542,002387,工银沪港深股票A
543,673050,西部利得新盈混合
544,320010,诺安中证100指数
545,004716,信诚量化阿尔法股票
546,001900,诺安精选价值混合
547,006719,国融融盛龙头严选混合C
548,002132,广发鑫享混合
549,001733,泰达宏利量化股票
550,006659,财通中证香港红利等权指数C
551,004549,富安达消费主题混合
552,006658,财通中证香港红利等权指数A
553,501305,汇添富中证港股通(LOF)
554,006166,建信中证1000指数增强C
555,164401,前海开源健康分级
556,003579,中金沪深300C
557,180033,银华上证50等权ETF联接
558,006165,建信中证1000指数增强A
559,003885,汇安沪深300指数增强C
560,006228,中欧医疗创新股票A
561,673110,西部利得新润混合
562,003015,中金沪深300A
563,163808,中银中证100指数增强
